,workers,accuracy,simulation
1085,76,0.23,13
1086,77,0.26,13
1087,78,0.26,13
1088,79,0.26,13
1089,80,0.22,13
1090,81,0.21,13
1091,82,0.28,13
1092,83,0.3,13
1093,84,0.29,13
1094,85,0.21,13
1095,86,0.22,13
1096,87,0.35,13
1097,88,0.28,13
1098,89,0.25,13
1099,90,0.33,13
1100,91,0.3,13
1101,92,0.17,13
1102,93,0.29,13
1103,94,0.28,13
1104,95,0.28,13
1105,96,0.25,13
1106,97,0.34,13
1107,98,0.28,13
1108,99,0.27,13
1109,19,0.29,14
1110,20,0.29,14
1111,21,0.32,14
1112,22,0.26,14
1113,23,0.27,14
1114,24,0.3,14
1115,25,0.23,14
1116,26,0.27,14
1117,27,0.31,14
1118,28,0.22,14
1119,29,0.29,14
1120,30,0.39,14
1121,31,0.26,14
1122,32,0.23,14
1123,33,0.31,14
1124,34,0.25,14
1125,35,0.23,14
1126,36,0.27,14
1127,37,0.23,14
1128,38,0.34,14
1129,39,0.32,14
1130,40,0.27,14
1131,41,0.22,14
1132,42,0.26,14
1133,43,0.28,14
1134,44,0.25,14
1135,45,0.26,14
1136,46,0.22,14
1137,47,0.31,14
1138,48,0.29,14
1139,49,0.32,14
1140,50,0.2,14
1141,51,0.27,14
1142,52,0.33,14
1143,53,0.3,14
1144,54,0.33,14
1145,55,0.21,14
1146,56,0.24,14
1147,57,0.25,14
1148,58,0.27,14
1149,59,0.32,14
1150,60,0.3,14
1151,61,0.21,14
1152,62,0.26,14
1153,63,0.25,14
1154,64,0.17,14
1155,65,0.28,14
1156,66,0.19,14
1157,67,0.22,14
1158,68,0.33,14
1159,69,0.21,14
1160,70,0.37,14
1161,71,0.33,14
1162,72,0.28,14
1163,73,0.27,14
1164,74,0.28,14
1165,75,0.23,14
1166,76,0.22,14
1167,77,0.19,14
1168,78,0.37,14
1169,79,0.26,14
1170,80,0.28,14
1171,81,0.26,14
1172,82,0.35,14
1173,83,0.27,14
1174,84,0.17,14
1175,85,0.27,14
1176,86,0.28,14
1177,87,0.3,14
1178,88,0.18,14
1179,89,0.27,14
1180,90,0.29,14
1181,91,0.28,14
1182,92,0.31,14
1183,93,0.17,14
1184,94,0.29,14
1185,95,0.24,14
1186,96,0.2,14
1187,97,0.29,14
1188,98,0.39,14
1189,99,0.3,14
1190,19,0.29,15
1191,21,0.22,15
1192,23,0.21,15
1193,25,0.24,15
1194,27,0.3,15
1195,28,0.34,15
1196,29,0.25,15
1197,30,0.27,15
1198,31,0.31,15
1199,32,0.3,15
1200,33,0.12,15
1201,34,0.15,15
1202,35,0.27,15
1203,36,0.34,15
1204,37,0.26,15
1205,38,0.31,15
1206,39,0.21,15
1207,40,0.29,15
1208,41,0.26,15
1209,42,0.28,15
1210,43,0.17,15
1211,44,0.32,15
1212,45,0.3,15
1213,46,0.29,15
1214,47,0.34,15
1215,48,0.23,15
1216,49,0.24,15
1217,50,0.18,15
1218,51,0.27,15
1219,52,0.23,15
1220,53,0.32,15
1221,54,0.27,15
1222,55,0.34,15
1223,56,0.24,15
1224,57,0.31,15
1225,58,0.23,15
1226,59,0.21,15
1227,60,0.27,15
1228,61,0.24,15
1229,62,0.25,15
1230,63,0.25,15
1231,64,0.17,15
1232,65,0.3,15
1233,66,0.31,15
1234,67,0.24,15
1235,68,0.28,15
1236,69,0.25,15
1237,70,0.19,15
1238,71,0.33,15
1239,72,0.28,15
1240,73,0.22,15
1241,74,0.31,15
1242,75,0.26,15
1243,76,0.21,15
1244,77,0.25,15
1245,78,0.29,15
1246,79,0.21,15
1247,80,0.23,15
1248,81,0.25,15
1249,82,0.22,15
1250,83,0.26,15
1251,84,0.31,15
1252,85,0.18,15
