total_tasks,total_workers,proportion_hard_tasks,proportion_train_tasks,workers_per_task,total_keys,accuracy
140,30,0.6,0.4,5,3,0.93
140,30,0.6,0.4,5,5,0.9729
140,30,0.6,0.4,5,7,0.9757
140,30,0.6,0.4,7,3,0.9755
140,30,0.6,0.4,7,5,0.9694
140,30,0.6,0.4,7,7,0.0
140,30,0.6,0.6,3,3,0.9429
140,30,0.6,0.6,3,5,0.9476
140,30,0.6,0.6,3,7,0.9619
140,30,0.6,0.6,5,3,0.9614
140,30,0.6,0.6,5,5,0.9586
140,30,0.6,0.6,5,7,0.9771
140,30,0.6,0.6,7,3,0.0
140,30,0.6,0.6,7,5,0.9469
140,30,0.6,0.6,7,7,0.9776
140,30,0.8,0.4,3,3,0.931
140,30,0.8,0.4,3,5,0.9619
140,30,0.8,0.4,3,7,0.9619
140,30,0.8,0.4,5,3,0.9471
140,30,0.8,0.4,5,5,0.9414
140,30,0.8,0.4,5,7,0.9529
140,30,0.8,0.4,7,3,0.9408
140,30,0.8,0.4,7,5,0.9633
140,30,0.8,0.4,7,7,0.9694
140,30,0.8,0.6,3,3,0.9452
140,30,0.8,0.6,3,5,0.9714
140,30,0.8,0.6,3,7,0.969
140,30,0.8,0.6,5,3,0.9714
140,30,0.8,0.6,5,5,0.9643
140,30,0.8,0.6,5,7,0.9629
140,30,0.8,0.6,7,3,0.0
140,30,0.8,0.6,7,5,0.9602
140,30,0.8,0.6,7,7,0.9745
140,40,0.2,0.4,3,3,0.9476
140,40,0.2,0.4,3,5,0.9667
140,40,0.2,0.4,3,7,0.9714
140,40,0.2,0.4,5,3,0.96
140,40,0.2,0.4,5,5,0.9686
140,40,0.2,0.4,5,7,0.9386
140,40,0.2,0.4,7,3,0.95
140,40,0.2,0.4,7,5,0.9704
140,40,0.2,0.4,7,7,0.9633
140,40,0.2,0.6,3,3,0.9524
140,40,0.2,0.6,3,5,0.9762
140,40,0.2,0.6,3,7,0.9667
140,40,0.2,0.6,5,3,0.9657
140,40,0.2,0.6,5,5,0.9843
